,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
2422,20010626037959I,"ON 06/26/01 ABOUT 1000 EDT, DURING TAKEOFF ROLL, AIRCRAFT LEFT WHEEL HIT A SOFT SAND SPOT AND IT PULLED THE A",AI,V,  ,Inadequately Maintai,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Directional ,Takeoff Ground Roll,                    ,"Miscellaneous, Other",Aerial Applicator   ,Agriculture         ,VFR                 ,Unknown             ,                    ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ON 06/26/01 ABOUT 1000 EDT, DURING TAKEOFF ROLL, AIRCRAFT LEFT WHEEL HIT A SOFT SAND SPOT AND IT PULLED THE AIRCRAFT OFF DIRT RUNWAY  AS A RESULT, THE PROPELLER STRUCK THE GROUND  NO INJURIES REPORTED  AIRCRAFT SUSTAINED MINOR DAMAGE  maintenance REPLACED THE PROPELLER AND AIRCRAFT WAS RETURNED TO SERVICE "
2423,20011030034599I,ON 10/30/2001 MR  HATTER PURCHASED4 3 GALLONS OF FUEL FROM THE FUEL TRUCK AT MOORE COUNTY AIRPORT IN DUMAS,II,V,73,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,7310,                    ,                    ,Fuel Contamination  ,Forced Landing      ,Normal Cruise,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,"ON 10/30/2001 MR  HATTER PURCHASED4 3 GALLONS OF FUEL FROM THE FUEL TRUCK AT MOORE COUNTY AIRPORT IN DUMAS TX DUX  HE DID NOT SAMPLE HIS TANK SUMPS BEFORE OR AFTER ADDING THE FUEL, HE ONLY DRAINED THE AIRCRAFT FUEL COLLATOR  ON DEPARTURE HE STARTED BURNING OUT OF THE RIGHT WINGTIP TANK FOR TAKEOFF AND AFTER 15 MINUTES WENT TO THE RIGHT MAIN TANK 15 MINUTES LATER OVER CLARENDON TX HE SWITCHED TO THE LEFT MAIN TANK AND THE ENGINE WOULD NOT RUN, SO HE WENT TO THE LEFT WINGTIP TANK AND ONLY GOT PARTIAL POWER  FINALLY HE WENT BACK TO THE RIGHT TANK AND THE ENGINE OPERATED WELL ENOUGH FOR HIM TO COMPLETE A SAFE LANDING AT CLARENDON TX E38 WITH NO INJURIES OR DAMAGE  HE DRAINED 3 5 QUARTS OF CLOUDY WATER FROM THE LEFT MAIN TANK, 1 QUART FROM THE LEFT WINGTIP TANK AND A SMALL AMOUNT FROM EACH OF THE RIGHT TANKS  10 DAYS BEFORE THIS FLIGHT HE RETURNED FROM A FLIGHT TO INDIANAPOLIS IN  THE FUEL TRUCK HAD JUST TAKEN ON 300 GALLONS FROM THE UNDERGROUND FUEL TANKS  NO EVIDENCE OF FUEL CONTAMINATION WAS FOUND AT THE FUEL FARM OR THE FUEL TANK  THE PILOT HAS A FUEL TANK IN HIS HANGAR, BUT STATES THAT IT IS NOT BEING USED "
2424,20011003031879A,"ON OCTOBER 3, 2001, ABOUT 1300L, N388BA, A LET-L33 SOLO GLIDER WAS SPINNING DOWN FROM000' WHEN A SMALL BATT",II,V,57,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,5700,                    ,                    ,Overstressed        ,Loss Of Directional ,Descent,                    ,Pilot Induced       ,Personal            ,Glider              ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                    ,                    ,                    ,                    ,"ON OCTOBER 3, 2001, ABOUT 1300L, N388BA, A LET-L33 SOLO GLIDER WAS SPINNING DOWN FROM000' WHEN A SMALL BATTERY CHARGER, A FOREIGN OBJECT, THAT WAS LEFT IN THE COCKPIT BECAME LODGED IN THE RUDDER CONTROLS  THE PILOT WAS UNABLE TO RECOVER FROM THE SPIN, BUT FINALLY GOT THE ROTATION ALMOST STOPPED  AT THAT POINT, THE GLIDER WAS STILL DIVING AT A HIGH RATE OF SPEED, SO THE PILOT PULLED BACK HARD, WHICH RESULTED IN HEAVY G-LOADING  AFTER THE RECOVERY WAS EFFECTED, THE PILOT LANDED UNEVENTFULLY  ACCORDING TO THE SAFETY OFFICER OF THE SOARING CLUB THAT OWNED THE GLIDER, HE WAS EXAMINING THE GLIDER IN EARLY NOVEMBER AND NOTICED SKIN DEFORMATION  THERE WAS ALSO PAINT MISSING FROM THE RIVET HEADS NEAR THE WING ROOT  THE AIRCRAFT WAS TRANSPORTED TO A maintenance FACILITY IN SOUTH CAROLINA  THERE IT WAS DETERMINED THAT THE WINGS WERE DAMAGED BEYOND SERVICEABLE LIMITS  ON NOVEMBER 13, 2001, THE SOARING CLUB MET WITH THE RICHMOND FSDO AND NOTIFIED THE FAA OF THE ACCIDENT                                                                                                                                                                                                                              THE PILOT COMPLETED A PREFLIGHT INSPECTION OF THE GLIDER, INCLUDING THE COCKPIT AREA  AFTER A TOW RELEASE AT 3,000 FEET MSL, THE PILOT FLEW FOR ABOUT 1 HOUR  TO DESCEND, THE PILOT COMPLETED A SPIN TO THE RIGHT  HE THEN INDUCED A SPIN TO THE LEFT, AND HEARD A LOUD BANG WHEN AN OBJECT STRUCK THE INSIDE OF THE CANOPY  THEN PILOT THEN SAW THE OBJECT FLOAT FORWARD AND SETTLE INTO THE AREA WHERE THE RUDDER PEDALS WERE LOCATED  AS HE TRIED TO APPLY OPPOSITE RUDDER, HE FELT A BINDING IN THE PEDALS  HE HAD SUFFICIENT RUDDER AUTHORITY TO STOP THE SPIN'S ROTATION; HOWEVER, THE AIRPLANE'S DIVE ANGLE AND AIRSPEED HAD INCREASED SIGNIFICANTLY  THE PILOT ""PULLED BACK FAIRLY HARD"" ON THE CONTROL STICK, AND AS THE AIRSPEED CLIMBED TO 100-110 KNOTS, HE RECOVERED THE GLIDER  THE OBJECT THAT BECAME ENTANGLED IN THE RUDDER PEDALS WAS SUBSEQUENTLY IDENTIFIED AS A TRANSFORMER USED FOR CHARGING THE GLIDER'S BATTERY  THE TRANSFORMER WAS NOT NORMALLY USED IN THE GLIDER FOR RECHARGING  IT HAD BEEN BORROWED FROM ANOTHER CLUB MEMBER, AND ""SOMEONE"" HAD USED IT TO CHARGE THE BATTERY VIA A LONG EXTENSION CORD  THE BATTERY WOULD HAVE NORMALLY BEEN DISCONNECTED, AND PUT ON A SMALL TRANSFORMER/CHARGER IN THE CLUB OFFICE "
2425,20011014030309I,WHILE TAXIING TO PARKING AFTER LANDING THE AIRCRAFT NOSE WHEEL DEPARTED THE TAXIWAY  THE AIRCRAFT WAS STOPPED,AF,S,  ,Improper Maintenance,"Inadequate Rwy, Taxi",Airport Supervisory ,,                    ,                    ,                    ,Propeller Blade     ,"Ground Taxi, Other A",                    ,"Miscellaneous, Other",Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,WHILE TAXIING TO PARKING AFTER LANDING THE AIRCRAFT NOSE WHEEL DEPARTED THE TAXIWAY  THE AIRCRAFT WAS STOPPED PRIOR TO THE MAIN WHEELS LEAVING THE TAXIWAY  THE PROPELLER WAS DAMAGED WHEN IT STRUCK THE TAXIWAY EDGE 
2426,20010907028149I,"THE AIRMAN PERFORMED A NORMAL TAKEOFF FROM THE CAMBRIDGE AIRPORT  IMMEDIATELY AFTER LIFT OFF, THE PILOT HEARD",II,V,GN,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Forgot To Extend Lan,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Wheels-Up Landing   ,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,                    ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"THE AIRMAN PERFORMED A NORMAL TAKEOFF FROM THE CAMBRIDGE AIRPORT  IMMEDIATELY AFTER LIFT OFF, THE PILOT HEARD A BANGING NOISE, AND REALIZED THAT HE HAD LEFT HIS KEYS IN THE OUTSIDE OF THE DOOR  THE AIRMAN FELT THAT HE HAD SUFFICIENT RUNWAY REMAINING TO ABORT THE TAKEOFF, BUT FAILED TO REALIZE THAT HE HAD ALREADY RETRACTED THE LANDING GEAR  THE AIRCRAFT THEN LANDED GEAR UP ON THE RUNWAY AND SLID OFF THE END INTO THE GRASS OVERRUN  DAMAGE TO THE BELLY OF THE AIRCRAFT, PROPELLERS AND ANTENNAS "
2427,20011019029729I,"PILOT STATEMENT: ON FRIDAY, OCTOBER 19, 2001, AT 65 AM, AT LOVE AIRFIELD IN PRESCOTT, ARIZONA, THE PLANE A",II,H,  ,Inadequate Insp Of A,Hidden Hazardous Obj,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Idling Engines,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"PILOT STATEMENT: ON FRIDAY, OCTOBER 19, 2001, AT 65 AM, AT LOVE AIRFIELD IN PRESCOTT, ARIZONA, THE PLANE A CESSNA 210, N331CB, WAS TIED DOWN IN THE SECOND ROW OF THE TRANSIENT PARKING AREA  THE TRANSIENT PARKING AREA IS ON AN INCLINE  I UNTIED THE TWO WINGS, LEAVING THE TAIL STILL TIED AND WENT INSIDE THE TERMINAL TO PAY MY TRANSIENT OVERNIGHT FEE  WHEN I CAME OUT TO SERVICE THE PLANE, I RELEASED THE TAIL TIE, CHECKED THE OIL AND ADDED A QUART  SINCE IT WAS COLD, THE OIL RAN VERY SLOWLY AND I WAS CONCERNED ABOUT BEING ABLE TO START THE ENGINE  AT THIS POINT, I HAD NOT TURNED ON THE RADIOS OR CHECKED WITH THE TOWER AS I WAS NOT READY TO LEAVE AND WAS STILL SERVICING THE PLANE  WHEN I STARTED THE ENGINE THE EMERGENCY BRAKE WAS ON  I WAS CHECKING THE OIL PRESSURE WHEN I FELT THE PLANE BEGIN TO MOVE  IMMEDIATELY I STARTED TO APPLY THE BRAKES AND STEER THE PLANE  AT FIRST, I DID NOT REMEMBER THAT THE DAY BEFORE, WHEN I HAD PARKED THE PLANE, I HAD PLACED MY HEADSET IN ITS BLACK CASE ON THE FLOOR AGAINST THE PEDALS TO BE OUT OF SIGHT  AS THE SUN HAD NOT RISEN YET, THE BLACK CASE WAS NOT VISIBLE  BY THE TIME I REALIZED WHAT WAS HAPPENING, MY RIGHT WING HAD HIT THE TAIL OF THE MERLIN PLANE PARKED JUST IN FRONT OF ME  THIS CAUSED MY PLANE TO SPIN AROUND INTO THE SIDE OF THE MERLIN WHERE MY PROPELLER HIT THAT PLANE'S DOOR "
2428,20010922033359I,SEE ATTACHED INFORMATION REGARDING PHONE INTERVIEW WITH MR  WOOD ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Other Ground Ops,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Declared Emergency  ,                    ,                    ,                    ,SEE ATTACHED INFORMATION REGARDING PHONE INTERVIEW WITH MR  WOOD 
2429,20010910029739I,"DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT  SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",II,V,AU,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Gear Collapse       ,Forced/Precautionary,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Unknown             ,Day                 ,Flight Instructor   ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,Pilot and Ground Cre,"DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT  SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY THE CONDITION OF THE NOSE LIGHT HOWEVER COULD NOT REMOVE THE LIGHT FROM THE PANEL  STUDENT HAD ACCOMPLISHED THE ENGINE RUNUP AND WAS BEGINNING THE TAKE OFF RUN  CFI STATED THAT SHE ASSUMED IT WAS AN INDICATION PROBLEM AS THE NOSE GEAR HELD DURING THE TAXI AND DECIDED TO CONTINUE WITH THE INSTRUCTIONAL FLIGHT  SHORTLY AFTER TAKEOFF, AT ABOUT 500 FEET AGL, THE CABIN DOOR POPPED OPEN AND THE CFI DECIDED TO IMMEDIATELY RETURN FOR LANDING AS THE AIRPLANE WAS NOT HOLDING ALTITUDE  CFI SELECTED GEAR DOWN, AGAIN NO NOSE GEAR GREEN LIGHT BUT DIDN'T HAVE TIME TO TROUBLE SHOOT AT THIS POINT  UPON TOUCHDOWN, NOSE GEAR COLLAPSED "
2430,20011015027579A,PILOT HAD RECEIVED AN IFR CLEARANCE AND WAS CLEARED FOR TAXI BY TYS GROUND CONTROL  PILOT REALIZED A WHEEL CH,II,V,UN,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Misc/Pilot Unsafe Ac,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Other,Idling Engines,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"PILOT HAD RECEIVED AN IFR CLEARANCE AND WAS CLEARED FOR TAXI BY TYS GROUND CONTROL  PILOT REALIZED A WHEEL CHOCK WAS STILL IN PLACE  HE SET THE PARKING BRAKE, GOT OUT OF THE AIRCRAFT TO REMOVE THE CHOCK AND WHEN HE REMOVED THE CHOCK THE AIRCRAFT STARTED TO MOVE  HE WAS UNABLE TO CATCH UP WITH THE AIRCRAFT AND THE AIRCRAFT RAN INTO A CONCRETE PILLAR CAUSING SUBSTANTIAL DAMAGE   ON OCTOBER 15, 2001, ABOUT 0855 EASTERN DAYLIGHT TIME, A CESSNA 172P, N52685, REGISTERED TO MARASHI AVIATION, LLC , OPERATING AS A TITLE  CFR PART 91 PERSONAL FLIGHT, SUSTAINED A GROUND COLLISION WITH AIRPORT TERMINAL CONCRETE COLUMNS AT KNOXVILLE'S MCGHEE TYSON AIRPORT, TENNESSEE  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND AN INSTRUMENT FLIGHT PLAN WAS FILED  THE AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE, AND THE COMMERCIALLY-RATED PILOT AND A PASSENGER WERE NOT INJURED  THE PLANNED DEPARTURE HAD NOT OCCURRED AT THE TIME OF THE ACCIDENT  ACCORDING TO THE PILOT, AFTER ENGINE START AND ATTEMPT TO TAXI, HE REALIZED THAT A CHOCK WAS STILL IN PLACE AT HIS RIGHT MAIN WHEEL  HE SET THE PARKING BRAKE, TOLD HIS RIGHT SEAT OCCUPANT TO SIT STIL                                                                 L, AND EXITED THE COCKPIT TO REMOVE THE CHOCK  ONCE HE REMOVED THE CHOCK, THE AIRCRAFT TAXIED FORWARD WHERE THE RIGHT WING COLLIDED WITH A CONCRETE COLUMN OF THE TERMINAL CANOPY, PIVOTING THE AIRCRAFT AND CAUSING THE LEFT WING TO COLLIDE WITH ANOTHER COLUMN  THE WING MAIN SPAR SUSTAINED DAMAGE, AS WELL AS LEFT WING FUEL TANK RUPTURE  POSTCRASH EXAMINATION OF THE COCKPIT REVEALED THAT THE PARKING BRAKE WAS NOT SET  HE STATED THAT THE PARKING BRAKE MUST HAVE BEEN INADVERTENTLY RELEASED AS HE SLID OUT OF HIS SEAT  ACCORDING TO AN FAA INSPECTOR, THE DISTANCE THE UNPILOTED AIRCRAFT TRAVELED PRIOR TO THE COLLISION WITH THE CONCRETE COLUMNS WAS ABOUT 300 FEET  THE RAMP POSSESSED A SLIGHT DOWNHILL SLOPE IN THE DIRECTION THE AIRCRAFT WAS HEADED AT ENGINE START, AND ALTHOUGH THE PILOT TRIED TO CATCH THE TAXIING AIRCRAFT, HE WAS UNABLE  THE LEFT WING SUSTAINED LEADING EDGE COLLISION DAMAGE ONE FOOT FROM THE WING TIP, THE RIGHT WING LEADING EDGE SUSTAINED DAMAGE JUST OUTBOARD OF THE LIFT STRUT ATTACHMENT, AND THE WING SPAR CENTER SECTION WAS BENT  THE PASSENGER EXITED THE AIRCRAFT, POSTCRASH, UNINJURED  TWO FAA INSPECTORS EXAMINED THE BRAKE SYSTEM AND FOUND NO DISCREPANCIES  THEIR CONCLUSION WAS, ""IT IS MY OPINION THAT THE PILOT ACCIDENTALLY HIT THE PARKING BRAKE HANDLE WITH HIS KNEE WHEN HE EXITED THE AIRCRAFT AND THE RETURN SPRING FOR THE HANDLE PULLED THE PARKING BRAKE HANDLE TO THE OFF POSITION, RELEASING THE BRAKES """
2431,20010822023659I,"ON A FLIGHT FROM GARDEN VALLEY AIRPORT TO BOISE, IDAHO, THE ENGINE QUIT SUDDENLY  THE PILOT MADE AN ENGINE OU",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Normal Cruise,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,"ON A FLIGHT FROM GARDEN VALLEY AIRPORT TO BOISE, IDAHO, THE ENGINE QUIT SUDDENLY  THE PILOT MADE AN ENGINE OUT LANDING AT A PRIVATE AIRSTRIP ON A RANCH IN HORSESHOE BEND, IDAHO  UPON EXAMINATION OF THE AIRCRAFT AND ENGINE IT WAS DETERMINED THAT THE AIRCRAFT WAS OUT OF FUEL  FUEL WAS ADDED TO THE FUEL TANKS AND THE AIRCRAFT DEPARTED AND OPERATED BACK TO GARDEN VALLEY WITHOUT INCIDENT  PILOT THINKS SOMEONE DRAINED FUEL FROM HIS FUEL TANKS WHILE IT WAS TIED DOWN AT THE GARDEN VALLY AIRPORT "
2432,20010918026899I,maintenance WAS PERFORMED SOMETIME BEFORE THE PROPOSED FLIGHT  THE ANTI-SKID CIRCUIT BREAKER WAS PULLED BY MA,II,V,FP,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Fail Follow Approved,Other/Miscellaneous ,Maintenance And/Or G,                    ,Coll With Rwy/App Li,"Ground Taxi, Other A",                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Flight & Maintenance,Violation           ,Flight & Maintenance,Discussion          ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"maintenance WAS PERFORMED SOMETIME BEFORE THE PROPOSED FLIGHT  THE ANTI-SKID CIRCUIT BREAKER WAS PULLED BY maintenance AND NOT RESET PRIOR TO RELEASING THE AIRPLANE  CREW MISSED CIRCUIT BREAKER CHECK ON PRE-FLIGHT  IN THIS AIRCRAFT, THE BREAKS ARE INOPERATIVE IF THE ANTI-SKID BREAKER IS TRIPPED  CREW MISSED BREAK CHECK ON PRE-TAXI CHECKLIST  AIRCRAFT STRUCK TAXIWAY LIGHTS WHILE EXITING PARKING RAMP  MINOR DAMAGE OCCURRED "
2433,20011013029489I,"ON OCTOBER 13, 2001, A CESSNA CE-172, N2529L, MADE AN EMERGENCY LANDING ON A FROZEN LAKE NEAR THE VILLAGE OF",II,V,73,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,7310,                    ,                    ,Accumulated Mositure,Forced Landing      ,Normal Cruise,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Other               ,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,Declared Emergency  ,                    ,Pilot and Ground Cre,                    ,"ON OCTOBER 13, 2001, A CESSNA CE-172, N2529L, MADE AN EMERGENCY LANDING ON A FROZEN LAKE NEAR THE VILLAGE OF NAPASKIAK, ALASKA  THE PART 91 VFR FLIGHT OPERATED BY THE AIRCRAFT OWNER MR  CARL DIRKERS WAS ENROUTE FROM MANOKOTAK TO BETHEL, ALASKA  WHEN APPROXIMATELY 6 MILES FROM BETHEL, AFTER CONTACTING BET TWR, THE ENGINE BEGAN RUNNING ROUGH  THE PILOT SAID HE APPLIED CARBURETOR HEAT, BUT IT MADE THINGS WORSE  HE IMMEDIATELY TURNED TOWARDS NAPASKIAK AND NOTIFIED TWR THAT HE WAS DIVERTING  THE ENGINE SPUTTERED AND STOPPED RUNNING  HE DECLARED AN EMERGENCY AND LANDED ON A FROZEN LAKE  DURING ROLL OUT TOWARDS SHORE, THE LEFT WHEEL BROKE THROUGH THE ICE FOLLOWED BY THE FRONT WHEEL  THE PILOT SAID THE WATER WAS APPROXIMATELY THREE FEET DEEP AND THE AIRCRAFT STUCK NOSE DOWN IN THE MUD  THE AIRCRAFT RECEIVED MINOR DAMAGE TO THE LEFT WING TIP AND BOTTOM COWLING, THERE WERE NO INJURIES "
2434,20010818039089I,"THIS INCIDENT, PRIVACY DATA OMITTED IS CLOSED  PRIVACY DATA OMITTED     INSPECTOR STATEMENT: ON AUGUST 18",II,V,UT,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Selected Unsuitable,High Vegetation     ,Pilot-In-Command    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"THIS INCIDENT, PRIVACY DATA OMITTED IS CLOSED  PRIVACY DATA OMITTED     INSPECTOR STATEMENT: ON AUGUST 18, 2001, THE ROC NOTIFIED ME THAT THE JACKSON CO  SHERIFF'S  DEPT  HAD RECEIVED A REPORT THAT A SMALL AIRPLANE HAD MADE A FORCED LANDING IN THE JAMES A  REED WILDLIFE AREA, SIX MILES SE OF LEE'S SUMMIT MUNICIPAL AIRPORT LXT  AFTER A BRIEF SEARCH, THE AIRPLANE WAS LOCATED; HOWEVER, THE PILOT HAD LEFT THE AREA  WHILE ON THE TELEPHONE WITH A DISPATCHER, A DEPUTY INDICATED THAT THE PILOT HAD RETURNED, AND REQUESTED MY PRESENCE AT THE SCENE  I ARRIVED AT APPROXIMATELY 1300 CDT  ON SCENE WERE THE PILOT, FRANK D  JULIAN, AND THREE SHERIFF'S DEPUTIES  WE APPROACHED THE AIRCRAFT, N72109, AN AMATEUR-BUILT KITFOX IV-1200 REGISTERED TO MR  JULIAN, NESTLED IN SIX-FOOT TALL WEEDS  MR  JULIAN EXPLAINED TO ME THAT HE HAD DEPARTED HARRISONVILLE, MO OA6 FOR A FLIGHT TO LXT, AND HAD NEGLECTED TO TURN ON THE MAIN FUEL TANK VALVES  HE ESTIMATED THAT THE HEADER TANK HAD CONTAINED ABOUT A GALLON OF FUEL, WHICH WAS ENOUGH TO START THE ENGINE, TAKE-OFF AND FLY FOR ABOUT 10 MINUTES  WHEN THE ENGINE QUIT, HE KNEW IMMEDIATELY WHAT THE PROBLEM WAS  HE TURNED ON A MAIN TANK FUEL VALVE; HOWEVE R, HE WAS UNABLE TO RESTART THE ENGINE  HIS GLIDE BROUGHT HIM TO A REMOTE PART OF THE WILDLIFE AREA, AND HE REDUCED HIS SPEED TO APPROXIMATELY 20 KNOTS BEFORE LANDING IN THE TALL WEEDS  MR  JULIAN, THE SOLE OCCUPANT, WAS UNHURT  MINOR DAMAGE TO N72109 CONSISTED OF NOSE COWL CRACKS, BROKEN PROPELLER BLADES  AND BENT MAIN LANDING GEAR STRUTS  THE WINGS AND TAIL SECTION WERE UNDAMAGED, AND A FLIGHT CONTROL CONFORMITY CHECK REVEALED NO ABNORMALITIES  SUFFICIENT FUEL WAS OBSERVED IN THE MAIN TANKS, AND THERE WERE NO LEAKS OR SPILLS  MR  JULIAN PRESENTED AIRCRAFT DOCUMENTS, HIS AIRMAN AND MEDICAL CERTIFICATES, AND HIS PILOT LOGBOOK  UPON REVIEW, HIS PAPERWORK APPEARED TO BE IN ORDER  MR  JULIAN STATED THAT HE HAD MADE ARRANGEMENTS FOR A TRUCK TO BE BROUGHT TO THE SCENE THE FOLLOWING DAY IN ORDER TO REMOVE HIS AIRPLANE "
